,12,"කුරුණෑගල
FUdhfy;
Kurunegala",Udubaddawa,High Wind,2024.06.02-08,23,60,,,,,23,5,,,,,
,,,Pannala,Heavy rain,2024.06.03,1,2,,,,,1,,,,,,
,,,,Lightning,2024.06.03,3,11,,,,,3,,,,,,
,,,Kuliyapitiya East,High Wind,2024.06.02,23,61,,,,,19,4,,,,,
,,,Bingiriya,flood,2024.06.07,1,2,,,,,1,,,,,,
,,,Narammala,High Wind,2024.06.02,1,2,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,52,138,0,0,0,0,48,9,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,107,335,0,0,0,0,73,9,0,0,0,0,
"මධ්‍යම පලොත
kj;jpa khfhzk;
Central",13,"නුවර
fz;b
Kandy",Gaga Ihala Koralaya,Heavy Rain,2024.06.02,1,2,,,,,1,,,,,,
,,,Pasbage,,2024.06.03,1,5,,,,,1,,,,,,
,,,Akurana,,2024.06.05,1,5,,,,,1,,,,,,
,,,Udapalatha,,2024.06.03,1,2,,,,,1,,,,,,
,,,Hataraliyadda,,2024.06.02,1,4,,,,,1,,,,,,
,,,Panvila,,2024.05.29,2,7,,,,,2,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,7,25,0,0,0,0,7,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7,25,0,0,0,0,7,0,0,0,0,0,
"ඌව
Cth khfhzk;
Uva",14,"බදුල්ල
gJs;is Badulla",Megahakiula,High Wind,2024.06.04,1,3,,,,,1,,,,,,
,,,Haputale,High Wind,2024.06.01,2,9,,,,,2,,,,,,
,,,Haliela,Heavy Rain,2024.06.02,1,4,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,16,0,0,0,0,4,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,16,0,0,0,0,4,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,31451,117973,23,7,1,78,6340,1253,101,17,136,466,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යස්ථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
