"තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
/jpfjp / Date : 20th May 2020 at 1800hrs",,,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්ූවන් පිළිබඳ විස්ත්‍රතර / Details of those affected
/பாதிக்கப்படட் வரக் ளின் விவரங்கள்",,,,,,,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්ූ
පුද්ගලයි
න්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses Damaged",,,"ලවනත්ත කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,,,,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ඥාති ස්ත්‍හලවනත්ත නිවාස්ත්‍
වල සිටින / In
relatives' homes",,"බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,,,,,,,
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","සුළු හානි/
Minor
damage",
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",1,"රත්නපුර/,uj;jpdGhp/
Rathnapura",Palmadulla,"Flood and
Landslide",2020.05.20,5,36,140,,,,,,,,,,,
,,,Opanayaka,,,1,16,50,,,,,,,,,,,
,,,Ayagama,,,1,5,16,,,,,,,,,,,
,,,Rathnapura,,,6,48,206,,,,,,,,,,,
,,,Balangoda,,,3,125,437,,,,,,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,16,230,849,0,0,0,0,0,0,0,0,0,0,
