Date : 16-Apr-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,35,25,95,65,Mainly fair
Batticaloa,33,26,90,65,A few showers
Colombo,33,27,90,60,Showers or thundershowers after 2.00p.m
Galle,31,27,90,75,Showers or thundershowers after 2.00p.m
Jaffna,34,26,90,60,Mainly fair
Kandy,31,21,95,65,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,23,12,95,60,Showers or thundershowers are likely after 2.00p.m
Ratnapura,35,24,95,65,Showers or thundershowers after 2.00p.m
Trincomalee,35,25,90,60,Mainly fair
Mannar,34,27,90,60,Showers or thundershowers are likely after 2.00p.m
