"දකුනු පලාත
njd; khfhzk;
Southern",7,ගාල්ල/fhyp/Galle,Neluwa,Flood,2020.05.19,,,,,,21,85,,2,,,21,,
,,,Thawalama,,,,,,,,2,5,,,,,2,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,23,90,0,2,0,0,23,0,
,8,"ාතර khj;jiw
Matara",Hakmana,Flood,2020.05.19,,,,,,5,25,,,,,3,,
,,,Kotapola,,,3,15,71,,,200,770,,1,,,70,,
,,,Pitabeddara,,,,,,,,7,26,,,,,7,,
,,,Pasgoda,,,1,9,36,,,24,89,,,,1,22,,
,,,Dikwella,,,,,,,,2,7,,,,,2,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4,24,107,0,0,238,917,0,1,0,1,104,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,4,24,107,0,0,261,1007,0,3,0,1,127,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,23,279,1138,266,1077,2487,9716,2,3,0,8,586,0,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :",,,,,,,,,,,,,,,,
,,,"ආපදා කළ නාකරණ ධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Manage
හදිසි ඇ තුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
මවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,
,,,………………………………………………,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,MCPO S H P K Chandrasiri,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
