"තත්තත්තව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
,,,Embilipitiya,,,,,,,,7,25,,,,,7,,
,,,Rathnapura,,,6,81,348,,,1345,5507,1,,,,103,,
,,,Kahawattha,,,,,,,,3,13,,,,,3,,
,,,Kiriella,,,,,,,,2,8,,,,,2,,
,,,Kalawana,,,,,,,,10,33,,,,,7,,
,,,Elapatha,,,1,10,30,21,74,93,340,,,,,15,,
,,,Nivithigala,,,,,,,,8,29,,,,,7,,
,,,Ibulpe,,,,,,,,6,24,,,,,6,,
,,,Balangoda,,,,,,,,187,493,,,,1,186,,
,,,Kolonna,,,,,,1,4,20,72,,,,1,19,,
,,,Weligapola,,,,,,,,5,17,,,,,5,,
,,,Kuruvita,,,,,,,,8,32,,,,,2,,
,,,Godakawala,,,,,,,,2,8,,,,,2,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,19,255,1031,131,447,2055,7929,2,0,0,6,409,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,19,255,1031,131,447,2068,7984,2,0,0,6,422,0,
ධ්‍ය පලාත,3,"හනුවර
fz;b Kandy",Udunuwara,Heavy Rain,2020.05.19,,,,,,1,5,,,,,1,,
,,,Pasbage Korale,High Wind,,,,,99,443,99,443,,,,,,,
,,,Gangawata Korale,High Wind,,,,,,,1,2,,,,,1,,
kj;jpa khfhzk;,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,99,443,101,450,0,0,0,0,2,0,
Central,4,"නුවරඑලිය/Etnuypa
h/ Nuwara Eliya",Walapane,"Flood and
Landslide",2020.05.19,,,,1,5,2,9,,,,,2,,
,,,Nuwaraeliya,,,,,,35,182,53,256,,,,,11,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,36,187,55,265,0,0,0,0,13,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,135,630,156,715,0,0,0,0,15,0,
"ඌව/Cth
khfhzk;/Uva",5,"බදුල්ල/gJs;is/Ba
dulla",Uvaparanagama,Tree fallan,2020.05.19,,,,,,2,10,,,,,2,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,2,10,0,0,0,0,2,0,
,6,"ම ානරාගල/nkhdwh
fiy Moneragala",Wallawaya,High Wind,2020.05.19,,,,,,,,,,,,7,,
,,,Butthala,,,,,,,,,,,,,,4,,
,,,Thanamalwila,,,,,,,,,,,,,1,9,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,0,0,0,0,0,0,0,1,20,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,0,0,2,10,0,0,0,1,22,0,
