River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.95,1.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.15,2.16,Normal,,4.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.34,10.37,Normal,,14.4,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,22.4,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.39,1.34,Normal,,20.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.99,0.95,Normal,,15.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.09,1.10,Normal,,16.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.85,1.86,Normal,,1.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.26,7.23,Normal,,17.3,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.34,3.26,Normal,,6.6,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.19,4.07,Alert,Falling,32.8,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,5.06,5.09,Alert,Rising,13.7,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.64,3.64,Alert,,27.6,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.52,2.42,Normal,,39.5,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.52,1.52,Alert,,4.8,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.03,4.98,Normal,,14.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.55,1.48,Normal,,10.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,1.01,Normal,,2.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.19,1.19,Normal,,1.2,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.50,1.53,Normal,,6.7,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.45,1.54,Normal,,19.9,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.77,1.79,Normal,,13.1,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.39,1.39,Normal,,6.1,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,4.24,4.62,Normal,,64,.7,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,3.51,3.56,Normal,,68,.7,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,4.80,4.85,Minor Flood,Rising,85.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.30,2.45,Normal,,64,.6,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,1.62,2.05,Normal,,106.8,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.30,4.40,Normal,,43.8,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.63,1.65,Normal,,41.4,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,2.17,2.40,Normal,,131.9,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,5.88,6.23,Alert,Rising,48.5,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.81,1.82,Normal,,30.3,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,2.79,3.14,Normal,,25.8,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.07,3.07,Normal,,15.8,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.12,3.12,Normal,,4.8,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.31,3.32,Normal,,3.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.50,2.63,Normal,,12.2,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.99,2.00,Normal,,5.9,,,
