"දකුනු පලාත
njd;
khfhzk;
Southern",14,"හම්බන්ගතාට
`k;ghe;Njhl;il
Hambantota",Katuwana,High wind,2021.05.25-27,13,47,,,,,9,,,,,,
,,,Walasmulla,,2021.05.24,6,29,,,,,6,,,,,,
,,,Thissamaharama,,2021.05.24-27,6,22,,,,,5,,,,,,
,,,Beliatta,,2021.05.16-28,27,90,,,,,26,,,,,,
,,,Okewela,,2021.05.28,8,33,,,,,6,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,60,221,0,0,0,0,52,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,60,221,0,0,0,0,52,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,10575,36948,1,4,0,7,903,25,1,14,82,314,
,,,"රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා කළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,
,,,"ගවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
