,9,බදුල්,Meegahakiula,High wind,2020.07.07/09,3,10,Page 2,,,,3,,,,,,
,,,Kandaketiya,Tree Falean,2020.07.09,1,5,,,,,1,,,,,,
,,,Ella,Tree Falean,,1,2,,,,,1,,,,,,
"ඌව
Cth khfhzk;
Uva",,gJs;is Badulla,Soranatotota,Heavy Rain,,3,12,,,,,3,,,,,,
,,,Haliela,Tree Falean,,1,4,,,,,1,,,,,,
,,,Haldunmulla,High wind,,7,28,,,,1,6,,,,,,
,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,16,61,0,0,0,1,15,0,0,0,0,0,
,ළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,60,228,2,0,0,1,57,0,0,0,0,0,
"නැකගනහිර ොත
fpof;F",10,"ත්‍රීකුණොම ය
jp.kiy
Trincomalee",Gomarankadawala,High wind,2020.07.09,14,44,,,,,14,,,,,,
Eastern,දිස්ත්‍රික් එ තුව khtl;l $l;Lj;njhif District Total,,,,,14,44,0,0,0,0,14,0,0,0,0,0,
,ළොත් ඵ තුව khfhz $l;Lj;njhif Province Total,,,,,14,44,0,0,0,0,14,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,190,699,3,0,0,3,180,10,1,0,0,0,
,,,"රොජ ොරි භොර නිළධොරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ද ො ළමනො රණ මධයස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැ ැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
