"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 14th May 2026 at 1000hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,,Kalthota,Lightning,2026.05.09,1,4,,,,,,,,,,,
,,,Weligepola,Tree Falls,2026.05.10,1,5,,,,,1,,,,,,
,,,Balangoda,Tree Falls,2026.05.10,1,4,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,27,85,0,0,0,0,9,1,0,1,7,17,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,27,85,0,0,0,0,9,1,0,1,7,17,
"දකුණු පලාත/njd;
khfhzk;/
Southern",2,ගාල්ල/fhyp/Galle,Akmimana,Tree Falls,2026.05.12,1,6,,,,,1,,,,,,
,,,Madampagama,Flash flood,2026.05.11,2,2,,,,,,,,,,,
,,,Ambalagoda,Tree Falls,2026.05.13,1,3,,,,,1,,,,,,
,,,Benthota,Tree Falls,2026.05.16,1,5,,,,,1,,,,,,
,,,Nagoda,Tree Falls,2026.05.12,1,1,,,,,1,,,,,,
,,,Elpitiya,Tree Falls,2026.05.13,1,1,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,7,18,0,0,0,0,5,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7,18,0,0,0,0,5,0,0,0,0,0,
"ඌව/Cth
khfhzk;/Uva",3,"ම ානරාගල/nkhdw
hfiy
Moneragala",Madulla,Lightning,2026.05.13,1,3,,,,,1,,,,,,
,,,Monaragala,Tree Falls,2026.05.13,1,3,,,,,1,,,,,,
,,,Madagama,Tree Falls,2026.05.13,2,7,,,,,2,,,,,,
,,,Bibila,Lightning,2026.05.13,1,2,,,,,,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,5,15,0,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,5,15,0,0,0,0,4,0,0,0,0,0,
"නැමගනහිර පලාත
fpof;F Eastern",4,"ඩකලපුව
kl;lf;fsg;G
Batticaloa",Koralepatthu South,"High wind and
flood",2026.05.13,6,23,1,,,,5,,,,,,
,,,Manmune west,,2026.05.13,6,18,,,,,6,,,,,,
,,,Eravilpatthu,,2026.05.13,5,24,,,,,5,,,,,,
,,,Oporathpatthu,,2026.05.13,10,30,,,,,9,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,27,95,1,0,0,0,25,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,27,95,1,0,0,0,25,0,0,0,0,0,
,5,"කළුතර/fSj;Jiw/
Kalutara",Dodangoda,"Heavy Rain/
Falsh flood/
Lightning/
Highwind",2026.05.13,26,96,,,,,,,,,,,
,,,Walallavita,,2026.05.13,4,11,,,,,3,,,,,,
,,,Bandaragama,,2026.05.11.13,9,33,,,,,9,,,,,,
,,,Mathugama,,2026.05.13,61,243,,,,,3,,,1,8,29,
,,,Kaluthara,,2026.05.13,23,92,,,,,12,,,,,,
,,,Bulathsinhala,,2026.05.13,2,9,,,,,2,,,,,,
,,,Horana,,2026.05.13,3,16,,,,,3,,,,,,
,,,Millaniya,,2026.05.13,3,12,,,,,3,,,,,,
,,,Beruwala,,2026.05.13,4,17,,,,,5,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,135,529,0,0,0,0,40,0,0,1,8,29,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,135,529,0,0,0,0,40,0,0,1,8,29,
