River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,6.80,6.85,Minor Flood,Rising,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,10.90,10.90,Major Flood,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,19.18,19.02,Major Flood,Falling,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.56,2.56,Normal,,2.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.16,2.12,Normal,,,0.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.96,1.92,Normal,,,0.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.55,1.55,Alert,,,,1.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.05,4.07,Minor Flood,Rising,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,NA,,,-,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.70,7.63,Minor Flood,Falling,,,1.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.18,4.16,Alert,Falling,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,8.12,NA,Major Flood,,,0.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.90,2.88,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.34,2.33,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.49,1.49,Alert,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.31,4.29,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.39,1.38,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.87,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.85,1.80,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,2.03,2.02,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.33,1.33,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.18,2.15,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.48,1.40,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,2.00,1.99,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.42,1.42,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.63,7.62,Minor Flood,Falling,2.8,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.97,1.96,Normal,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,11.70,11.35,Major Flood,Falling,,0.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,6.02,5.64,Alert,Falling,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.62,5.60,Major Flood,Falling,,0.5,,
