River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.57,0.54,Normal,,0.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.66,8.66,Normal,,4.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.56,Normal,,3.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.48,0.48,Normal,,1.7,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.37,0.36,Normal,,3.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.57,0.58,Normal,,3.5,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.70,0.55,Normal,,1.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.30,4.38,Normal,,24.9,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.08,1.06,Normal,,6.7,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.86,0.85,Normal,,4.6,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.38,2.38,Normal,,6.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.00,1.00,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.58,1.56,Normal,,1.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.52,0.50,Normal,,9.1,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.97,2.97,Normal,,12.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.00,0.99,Normal,,11.3,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.35,0.33,Normal,,4.9,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.96,0.95,Normal,,0.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.22,1.22,Normal,,17.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.15,1.15,Normal,,14.6,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.30,Normal,,18.5,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.08,0.10,Normal,,2.9,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.54,1.75,Normal,,18.8,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,4.20,4.25,Normal,,100.5,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,2.50,2.35,Normal,,64,,.4,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.95,3.10,Alert,Rising,34.5,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-0.47,-0.45,Normal,,125.6,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.78,2.10,Normal,,8.6,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.77,0.82,Normal,,15.5,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,1.52,1.63,Normal,,4,9.8,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.70,1.80,Normal,,19.3,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.06,1.18,Normal,,11.7,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.64,1.65,Normal,,5.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.20,0.21,Normal,,3.3,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.56,0.56,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.01,2.01,Normal,,1.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.94,0.94,Normal,,3.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.63,0.63,Normal,,3.3,,,
