"උතුරු පලාත
tlkhfhzk
Northen",10,"මුලතිව්න
Ky;iyj;jPT
Mulaitivu",Puthukudiyiruppu,High Wind,2020.09.21,7,22,Page 3,,,,7,,,,,,
,,,Oddusuddan,,,2,7,,,,,2,,,,,,
,,,Welioya,,,2,5,,,,,2,,,,,,
,,,Thunukal,,,1,5,,,,,1,,,,,,
,,,Maritimepattu,,,1,5,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,13,44,0,0,0,0,13,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,24,78,0,0,0,0,23,1,0,0,0,0,
"වයඹ පලාත North
Western",11,"පුත්තලම
Gj;jsk; Puttalam",Madampe,High Wind,2020.09.23,1,3,,,,,1,,,,,,
,,,Naaththandiya,,,1,4,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,7,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,7,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,454,1709,3,4,0,39,343,9,0,3,49,187,
,,,"රාජකාරි භාර ිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
