"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :31st October 2023 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,,Lunugala,,,1,4,,,,,1,,,,,,
,,,Haputale,,,42,166,,,,,14,,,2,26,103,
,,,Soranatota,,,5,18,,,,,5,,,,,,
,,,Mahiyanganaya,,,3,11,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,453,1674,0,0,0,3,112,0,0,8,210,711,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,453,1674,0,0,0,3,112,0,0,8,210,711,
"දකුනු පලාත
njd; khfhzk;
Southern",2,"මාතර
khj;jiw
Matara",Akuressa,Flood / Heavy Rain,"2023.09.28 to
2023.10.23",31,130,,,,11,29,,,,,,
,,,Thihagoda,,,120,492,,,,,33,,,,,,
,,,Maalimboda,,,15,66,,,,,15,,,,,,
,,,Devinuwara,,,176,694,,,,,53,,,1,4,21,
,,,Weligama,,,124,337,,,,,44,,,,,,
,,,Kamburupitiya,,,102,433,,,,,39,,,,,,
,,,Athuraliya,,,17,57,,,,,17,,,,,,
,,,Kirinda puhulwela,,,41,156,,,,,41,,,,,,
,,,Pasgoda,,,99,387,,,,,10,,,,,,
,,,Hakmana,,,72,275,,,,,72,,,,,,
,,,Matara,,,128,557,,,,8,119,,,,,,
,,,Pitabeddara,,,39,147,,,,,39,,,,,,
,,,Mulatiyana,,,39,162,,,,,11,,,,,,
,,,Kotapola,,,9,45,,,,,7,,,,,,
,,,Dikwella,,,110,415,,,,,110,,,,,,
,,,Welipitiya,,,38,133,,,,2,30,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1160,4486,0,0,0,21,669,0,0,1,4,21,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1160,4486,0,0,0,21,669,0,0,1,4,21,
,3,"රත්නපුර
,uj;jpdGhp
Rathnapura",Kolonna,Tree Fallen,2023.10.27,1,4,,,,,1,,,,,,
,,,Godakawela,High Wind,2023.10.28,1,4,,,,,1,,,,,,
,,,Embilipitiya,Cutting Faliure,2023.10.29,1,4,,,,,1,,,,,,
,,,,Heavy Rain,2023.10.29,3,9,,,,,3,,,,,,
,,,Balangoda,Heavy Rain,2023.10.27-29,2,6,,,,,2,,,,,,
,,,Pelmadulla,Heavy Rain,2023.10.29,3,10,,,,,3,,,,,,
,,,,Rock Fallen,2023.10.29,3,12,,,,,3,,,,,,
,,,Weligepola,Heavy Rain,2023.10.30,1,4,,,,,1,,,,,,
,,,Eheliyagoda,Heavy Rain,2023.10.25,5,16,,,,,5,,,,,,
,,,Kaltota,Landslide,2023.10.27,2,9,,,,,2,,,,,,
,,,,Cutting Faliure,2023.10.27,1,5,,,,,,,,,,,
,,,,Flash Flood,2023.10.27,5,19,,,,,5,1,,,,,
,,,,Heavy Rain,2023.10.28,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,29,105,0,0,0,0,28,1,0,0,0,0,
