Weather Forecast for Main Cities Date : 8-Jul-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,26,90,55,Mainly fair
Batticaloa,35,25,85,50,Mainly fair
Colombo,32,27,90,70,Several spells of light showers
Galle,30,27,90,75,Several spells of light showers
Jaffna,33,28,85,60,Mainly fair
Kandy,30,23,85,55,A few showers
Nuwara-Eliya,20,14,90,55,A few showers
Ratnapura,33,24,95,55,Several spells of showers
Trincomalee,36,26,80,45,Mainly fair
Mannar,32,27,85,70,Mainly fair
