"Page 1 Situat
තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 03rd October 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධයම පලාත
kj;jpa khfhzk
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Fire,2020.08.11,35,125,,,,24,,,,1,35,125,Muththumari Amman Kovil
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,35,125,0,0,0,24,0,0,0,1,35,125,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,35,125,0,0,0,24,0,0,0,1,35,125,
"ඌව
Cth khfhzk;
Uva",2,"බදුල්ල
gJs;is",Welimada,Fire,2020.08.17,12,54,,,,12,,,,1,12,54,Alakolagala Day Care Centre
,,Badulla,Ella,Tree Fallen,2020.10.02,2,6,,,,,2,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,60,0,0,0,12,2,0,0,1,12,54,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,14,60,0,0,0,12,2,0,0,1,12,54,
"Western
Nky; khfhzk;",3,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,2,8,"Gangarama Temple,
Kosgulana"
බස්නාහිර පලාත,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,2,8,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,16,49,0,0,0,0,0,0,0,1,2,8,
"දකුනු පලාත
njd; khfhzk;
Southern",4,"හම්බනවතාට
`k;ghe;Njhl;il
Hambantota",Katuwana,Rock Fallen,2020.10.02,1,2,,,,,1,,,,,,
,,,,High Wind,2020.10.01,1,5,,,,,1,,,,,,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,67,241,0,0,0,36,4,0,0,3,49,187,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා ක ළමනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
