"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 22nd May 2026 at 1000hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,,Rathnapura,Landslide Risk,2026.05.14,7,27,,,,,,,,,,,
,,,,Flash Flood,2026.05.22,24,78,,,,,,,,,,,
,,,Balangoda,Tree Falls,2026.05.14,1,2,,,,,1,,,,,,
,,,Kolonna,High Wind,2026.05.14,1,3,,,,,1,,,,,,
,,,Godakawela,Tree Falls,2026.05.13,1,3,,,,,1,,,,,,
,,,,Cutting Failure,2026.05.13,1,4,,,,,1,,,,,,
,,,,Tree Falls,2026.05.15,2,4,,,,,2,,,,,,
,,,Elapatha,Tree Falls,2026.05.15-16,4,10,,,,,2,,,,,,
,,,,Flash Flood,2026.05.22,6,27,,,,,,,,,,,
,,,Eheliyagoda,Tree Falls,2026.05.14-15,5,12,,,,,5,,,,,,
,,,Kalawana,"Tree
Falls/Cutting
Failure",2026.05.15,2,9,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,83,271,0,1,0,1,40,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,83,271,0,1,0,1,40,0,0,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",2,"ගාල්ල
fhyp
Galle",Akmeemana,Tree Falls,2026.05.12,1,6,,,,,1,,,,,,
,,,,Tree Falls,2026.05.20,,,,,,,,,1,,,,
,,,Bope Poddala,Tree Falls,2026.05.12,,1,,,,,,,,,,,
,,,Madampagama,Flash flood,2026.05.11,1,2,,,,,1,,,,,,
,,,,Cutting Failure,2026.05.14,1,4,,,,,,,,,,,
,,,Ambalagoda,Tree Falls,2026.05.13,1,3,,,,,1,,,,,,
,,,Karandeniya,Tree Falls,2026.05.14,1,1,,,,,1,,,,,,
,,,Imaduwa,Tree Falls,2026.05.14,1,2,,,,,1,,,,,,
,,,Neluwa,Tree Falls,2026.05.14,1,2,,,,,1,,,,,,
,,,Niyagama,Tree Falls,2026.05.14,1,2,,,,,1,,,,,,
,,,Benthara,Tree Falls,2026.05.13,1,5,,,,,1,,,,,,
,,,Nagoda,Tree Falls,2026.05.12-13,2,2,,,,,2,,,,,,
,,,Elpitiya,Tree Falls,2026.05.13,,,,,,,1,,,,,,
,,,Thawalama,Tree Falls,2026.05.14,2,7,,,,,2,,,,,,
,,,Balapitiya,Tree Falls,2026.05.19,1,3,,,,,1,,,,,,
,,,Benthota,Tree Falls,2026.05.16,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,15,43,0,0,0,0,15,0,1,0,0,0,
,3,"හම්බන්තාට
`k;ghe;Njhl;il
Hambantota",Katuwana,High Wind,2026.05.11,1,3,,,,,1,,,,,,
,,,Walasmulla,"Heavy Rain and
High Wind",2026.05.12,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,7,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,17,50,0,0,0,0,17,0,1,0,0,0,
