"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :04th June 2022 at 0600 hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,Ayagama,,,5,18,,,,,,,,,,,
,,,Balangoda,,,1,5,,,,,1,,,,,,
,,,Imbulpe,,,1,1,,,,,1,,,,,,
,,,Embilipitiya,,,2,8,,,,,2,,,,,,
,,,Opanayake,,,2,7,,,,,2,,,,,,
,,,Kahawaththa,,,1,6,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,697,2577,1,0,0,0,86,0,0,0,0,0,
,2,"කෑගල්ල
Nffhiy
Kegalle",Warakapola,High Wind,2022.05.31,1,3,,,,,1,,,,,,
,,,,,2022.06.01,2,8,,,,,2,,,,,,
,,,Bulathkohupitiya,Cutting Failure,2022.05.31,1,4,,,,,1,,,,,,
,,,,Cutting Failure,2022.06.01,3,15,,,,,3,,,,,,
,,,Deraniyagala,Cutting Failure,2022.05.31,5,22,,,,,5,,,,,,
,,,Aranayaka,Heavy Rain,2022.05.31,2,5,,,,,2,,,,,,
,,,Ruwanwella,Cutting Failure,2022.05.31,9,30,,,,,1,,,,,,
,,,Dehiovita,High Wind,2022.06.01,1,3,,,,,1,,,,,,
,,,,Flood,2022.05.31,20,71,,,,,20,,,,,,
,,,Yatiyanthota,High Wind,2022.05.31,2,7,,,,,2,,,,,,
,,,,,2022.06.01,4,18,,,,,1,,,,,,
,,,Rambukkana,Cutting Failure,2022.06.01,3,8,,,,,3,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,53,194,0,0,0,0,42,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,750,2771,1,0,0,0,128,0,0,0,0,0,
"මධ්‍යම පලාත
kj;jpa
khfhzk; Central",3,"නුවර
fz;b
Kandy",Hataraliyadda,"Heavy rain & High
wind",2022.05.29,2,7,,,,,2,,,,,,
,,,Pathahewaheta,,2022.05.29,1,7,,,,,1,,,,,,
,,,Patadumbara,,2022.05.26/27,2,9,,,,,2,,,,,,
,,,Udunuwara,,2022.05.31,1,4,,,,,1,,,,,,
,,,Kundasale,,2022.05.27/30,4,16,,,,,4,,,,,,
,,,Harispattuwa,,2022.05.29,1,3,,,,,1,,,,,,
,,,Gaga Ihalakoralaya,,2022.05.25,1,4,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,12,50,0,0,0,0,12,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,12,50,0,0,0,0,12,0,0,0,0,0,
"බසරනාහිර පලාත
Nky; khfhzk;
Western",4,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Flood,2022.05.31/06.01,2,8,,,,,,,,,,,
,,,Bulathsighala,,,27,82,,,,,3,,,,,,
,,,Bandaragama,High wind,2022.05.30-31,1,5,,,,,1,,,,,,
,,,Mathugama,,2022.05.30/31,1,4,,,,,1,,,,,,
,,,Kalutara,,,2,7,,,,,2,,,,,,
,,,Dodangoda,,,2,11,,,,,2,,,,,,
,,,Horana,,,1,5,,,,,1,,,,,,
,,,Milleniya,,,9,36,,,,,,,,,,,
,,,Beruwala,,,3,14,,,,,3,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,48,172,0,0,0,0,13,0,0,0,0,0,
,,,Mahara,Flood,2022.05.31,,,,,,,1,,,,,,
,,,Gampaha,Tree Falen,2022.05.30/31,47,215,,,,,3,,,,,,
,,,Meerigama,Heavy Rain,2022.05.30,,,,,,,2,,,,,,
,,ගම්පහ,Ja Ela,Land Slide,2022.06.01,,,,,,,3,,,,,,
,5,fk;g`h Gampaha,Minuwangoda,Heavy Rain,2022.05.29,1,3,,,,,3,,,,,,
,,,Dompe,Tree Falen,2022.05.31,37,146,,,,,10,,,,,,
,,,Biyagama,Flood,2022.06.01,,,,,,,2,,,,,,
,,,Kelaniya,Flood,2022.06.01,321,1592,,,,,5,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,406,1956,0,0,0,0,29,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,454,2128,0,0,0,0,42,0,0,0,0,0,
