"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :06th February 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,495,1648,0,0,0,3,39,2,0,11,99,359,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,495,1648,0,0,0,3,39,2,0,11,99,359,
"උතුරු පලාත
tl khfhzk;",2,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Puthukudiyiruppu,"Heavy Rain & High
Wind",2024.01.09,7,27,,,,,,,,1,7,27,"Moonkilaru Primary
School"
Northen,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,7,27,0,0,0,0,0,0,0,1,7,27,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,7,27,0,0,0,0,0,0,0,1,7,27,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",3,,Kiriella,Heavy Rain,2024.02.01,1,5,,,,1,,,,,,,
,,,,Lightning,2024.02.01,1,4,,,,,1,,,,,,
,,,Balangoda,Heavy Rain,2024.02.04,,,,,,,,1,,,,,
,,රත්නපුර,Ehaliyagoda,High Wind,2024.02.04,1,4,,,,,1,,,,,,
,,",uj;jpdGhp",Kuruwita,High Wind,2024.02.04,2,8,,,,,2,,,,,,
,,Rathnapura,Pelmadulla,High Wind,2024.02.04,2,7,,,,,2,,,,,,
,,,Ayagama,Lightning,2024.02.04,1,3,1,,,,1,,,,,,
,,,Kalawana,Lightning,2024.02.04,2,6,,,,,2,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,10,37,1,0,0,1,9,1,0,0,0,0,
,4,කෑගල්ල Nffhiy,Dehiowita,High Wind,2024.02.04,1,6,,,,,1,,,,,,
,,Kegalle,Yatiyantota,High Wind,2024.02.04,1,4,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,2,10,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,12,47,1,0,0,1,11,1,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,514,1722,1,0,0,4,50,3,0,12,106,386,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
