,6,"්කාළඹ
nfhOk;G
Colombo",Colombo,Heavy Rain & High Wind,2020.09.07,9,34,Page 2,2,,,9,,,,,,Situati
,,,,,2020.09.09,427,1640,,,,,25,,,1,42,175,"Obeysekarapura Reading
Hall"
,,,Thimbirigasyaya,,2020.09.09,213,678,,1,,,2,,,,,,
,,,Kaduwela,,2020.09.07,3,11,1,2,,1,2,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,652,2363,1,5,0,1,38,0,0,1,42,175,
"Western
Nky; khfhzk;
බසරනාහිර පලාත",7,"ගම්පහ
fk;g`h
Gampaha",Wattala,Flood,2020.09.08,71,271,,,,,70,,,1,19,65,"Elapitiwala DMC Safety
Center"
,,,Mahara,,2020.09.09,1,2,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,72,273,0,0,0,0,71,0,0,1,19,65,
,8,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,,,,,,,,1,16,44,Gangarama Temple
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,740,2685,1,5,0,1,109,0,0,3,77,284,
"නැ්ගනහිර පලාත
fpof;F",9,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High wind,2020.09.08,3,9,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Eastern,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,3,9,0,3,0,0,0,0,0,0,0,0,
"වයඹ පලාත
tlNky; khfhzk;",10,"පුත්තලම
Gj;jsk;
Puttalam",Kalpitiya,Fire,2020.09.16,1,5,,,,,1,,,,,,
North Western,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;",11,"හම්බන්තාට
`k;ghe;Njhl;il
Hambantota",Walassmulla,High Wind,2020.09.17,1,5,,,,,1,,,,,,
Southern,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1,5,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,904,3349,4,13,0,45,199,0,0,6,126,475,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා ක ළමනාකරණ මධ්‍යසරථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්සර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
්වබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
