"Page 1 Situati
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,62,260,0,1,0,12,50,0,0,1,12,54,
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",,,Ayagame,High wind,2020.09.18,2,7,,,,,2,,,,,,
,,,Kalawana,,2020.09.18,2,5,,,,,2,,,,,,
,,,Kahawatta,Cutting failure,2020.09.18,2,7,,1,,1,1,,,,,,
,4,රත්නපුර,Kolonna,,2020.09.18,2,11,,,,,2,,,,,,
,,",uj;jpdGhp
Rathnapura",Godakawela,Tree Fallen,2020.09.18,1,6,,,,,1,,,,,,
,,,,Landslide Risk,2020.09.19,10,48,,,,,,,,,,,
,,,Weligapola,High wind,2020.09.19,1,5,,,,1,,,,,,,
,,,,Landslide Risk,2020.09.19,4,18,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,24,107,0,1,0,2,8,0,0,0,0,0,
,,,Kegalle,Tree Fallen,2020.09.18,1,4,,,,,1,,,,,,
,,,,,2020.09.12,1,1,,,,,1,,,,,,
,5,කෑගල්ල,Yatiyanthota,High Wind,2020.09.03,1,5,,,,,1,,,,,,
,,"Nffhiy
Kegalle",Bulathkohupitiya,,2020.09.16,1,2,,,,,1,,,,,,
,,,,Cutting failure,2020.09.14,1,2,,,,,1,,,,,,
,,,Ruwanwella,Rock Fallen,2020.09.02,1,2,,,,,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6,16,0,0,0,0,5,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,30,123,0,1,0,2,13,0,0,0,0,0,
