Weather Forecast for Main Cities Date : 24-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,22,95,65,Mainly fair
Batticaloa,30,23,95,80,Mainly fair
Colombo,33,24,90,75,Mainly fair
Galle,29,24,95,80,Showers or thundershowers are likely after 2.00p.m
Jaffna,30,23,90,80,Mainly fair
Kandy,31,19,95,75,Mainly fair
Nuwara-Eliya,22,11,95,70,Showers or thundershowers are likely after 2.00p.m
Ratnapura,36,22,95,65,Showers or thundershowers are likely after 2.00p.m
Trincomalee,30,24,95,75,Mainly fair
Mannar,31,25,95,80,Mainly fair
