"දකුනු පලොත
njd; khfhzk
Southern",9,"ගොල්ල
fhyp
Galle",Akmeemana,High Wind,2020.07.20,610,2200,Page 2,1,,,30,3,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,610,2200,0,1,0,0,30,3,0,0,0,0,
,10,"හම්බන්කතොට
`k;ghe;Njhl;il
Hambantota",Tree Fallen,Beliatta,2020.07.25,3,11,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,3,11,0,0,0,0,3,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,613,2211,0,1,0,0,33,3,0,0,0,0,
"උතුරුමැද පලොත
tlkj;jpa
khfhzk;
North Central",11,"කපොකලොන්නරුව
nghyd;dWit
Polonnaruwa",Welikanda,Lightning,2020.07.22,,,,2,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,0,2,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,0,2,0,0,0,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,676,2356,4,37,1,0,59,6,0,2,9,33,
,,,"රොජකොරි භොර ිළධ්‍ොරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ො ක ළමනොකරණ මධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
කවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
