Weather Forecast for Main Cities Date : 9-Jul-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,25,90,55,Mainly fair
Batticaloa,35,26,80,55,Mainly fair
Colombo,31,26,90,70,Several spells of showers
Galle,29,26,90,80,Several spells of showers
Jaffna,33,27,85,65,Mainly fair
Kandy,29,23,80,65,Several spells of light showers
Nuwara-Eliya,19,14,95,70,A few showers
Ratnapura,33,24,95,70,Several spells of showers
Trincomalee,35,26,80,55,Mainly fair
Mannar,32,27,85,70,Mainly fair
