River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.20,2.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.22,3.12,Normal,,29.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.57,10.51,Normal,,42.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.80,Normal,,0.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.90,0.90,Normal,,1.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.76,0.74,Normal,,1.6,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.05,1.05,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,-,1.20,Normal,,,15.2,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.15,6.12,Normal,,1,,8.7,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,2.25,2.22,Normal,,5.3,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.45,2.39,Normal,,2.1,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.12,4.06,Normal,,27.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.45,2.41,Normal,,,12.8,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.94,1.91,Normal,,2.8,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.46,1.45,Alert,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.23,4.22,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.26,1.26,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.86,0.85,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.85,1.85,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.64,1.63,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.34,1.33,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.90,1.90,Normal,,2.4,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.16,0.12,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.33,1.33,Normal,,9.6,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.68,0.69,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.68,0.68,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.31,-0.35,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.83,0.79,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.04,-2.11,Normal,,8.6,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.80,2.91,Normal,,1.6,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.25,1.25,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.79,0.79,Normal,,2.9,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.29,2.29,Normal,,,12.8,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.67,0.67,Normal,,9.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,2.56,2.52,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.67,0.60,Normal,,1.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.01,1.01,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.28,3.26,Normal,,8.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.04,2.04,Normal,,28.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.67,2.62,Normal,,6.5,,,
