River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,2.24,2.28,Normal,,5.5,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.95,10.96,Normal,,,11.3,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.26,2.10,Normal,,30.3,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.50,0.49,Normal,,3.1,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.25,1.24,Normal,,20.7,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.97,0.96,Normal,,14,,.1,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.73,0.75,Normal,,1.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.32,6.34,Normal,,18,,.1,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.96,2.91,Normal,,17,,.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.05,2.15,Normal,,4.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.90,2.86,Normal,,6.1,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.26,2.28,Normal,,0.8,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.92,1.99,Normal,,15,,.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.80,0.80,Normal,,3.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.77,3.78,Normal,,14,,.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.07,1.05,Normal,,14,,.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.40,0.40,Normal,,15,,.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.81,0.81,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.43,0.44,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.80,0.80,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.93,0.93,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.23,-0.23,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,1.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.05,0.05,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.10,-0.09,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-3.07,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.77,3.77,Normal,,2.5,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.00,1.98,Normal,,31.3,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.11,0.12,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.68,1.68,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.02,0.02,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.06,2.06,Normal,,3.3,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.01,1.00,Normal,,3.4,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.69,0.69,Normal,,0.0,,,
