River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.20,1.00,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.51,0.50,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.67,8.65,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.53,1.55,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.40,0.40,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.32,0.32,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.54,0.54,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.46,0.42,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.16,4.16,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.73,0.73,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.88,0.87,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.68,1.60,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.23,1.23,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.62,1.55,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.44,0.39,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.42,2.42,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.64,0.62,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.27,0.27,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,0.98,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.07,1.06,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.08,1.08,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.06,0.05,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.02,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.74,0.74,Normal,,0.3,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.15,1.20,Normal,,23.2,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.47,1.51,Normal,,1.5,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.54,-1.56,Normal,,,6.5,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.80,2.21,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.75,0.75,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.70,0.69,Normal,,,,9.1,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.61,1.59,Normal,,17.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.75,0.76,Normal,,,,9.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.48,1.48,Normal,,0.6,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.19,1.18,Normal,,0.3,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.54,0.54,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.00,2.00,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.92,0.92,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.69,0.69,Normal,,0.0,,,
