"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 13th January 2020 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌව Cth
khfhzk;
Uva",1,"බදුල්ල
gJs;is
Badulla",Bandarawela,Heavy Rain,2019.12.20,1,5,,,,,,,,1,1,5,Yowun Senankaya
,,,Passara,,,5,18,,,,,,,,1,5,18,"kanawarella sarwodaya
building"
,,,Ella,,,8,28,,,,,,,,1,8,28,Karandagolla Temple
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,51,0,0,0,0,0,0,0,3,14,51,
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,51,0,0,0,0,0,0,0,3,14,51,
,2,"මහනුවර
fz;b
Kandy",Minipe,High wind,2019.12.20,10,47,,,,,,,,1,10,47,Thorapitiya Temple
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,10,47,0,0,0,0,0,0,0,1,10,47,
"මධයම පලාත kj;jpa
khfhzk; Central",3,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Walapane,Land Slide Risk,2019.11.30,8,20,,,,,,,,2,8,20,"01. Munwatte Temple 02.
Naranthalawa Wewakele
temple"
,,,Nuwaraeliya,Land Slide,2019.12.05,2,11,,,,,,,,1,2,11,Lipakele Day Care Centre
,,,,,2019.12.19,1,5,,,,,,,,1,1,5,Headrest Cultural Centre
,දිස්ික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,11,36,0,0,0,0,0,0,0,4,11,36,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,21,83,0,0,0,0,0,0,0,5,21,83,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,35,134,0,0,0,0,0,0,0,8,35,134,
,,,"රාජකාරි භාර නිළධාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesmen :
ආ ප ද ා ක ළ මනාකරණ මධයස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136
ෆැක්ස/් njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
,,,……………………………………………………….,,,,,,,,,,,,,,,
,,,H.D.G Priyantha,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
