River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.25,2.22,Normal,,14.8,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.37,10.29,Normal,,26.2,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.56,Normal,,39.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.58,0.61,Normal,,4.8,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.74,Normal,,25.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.71,0.72,Normal,,4.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.10,1.12,Normal,,6.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.42,6.60,Normal,,84.5,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.09,4.45,Normal,,68.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.42,2.34,Normal,,31.2,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.74,4.54,Normal,,18.5,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.15,2.19,Normal,,36.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.05,2.00,Normal,,75.3,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.90,0.90,Normal,,63.6,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.51,3.49,Normal,,46.,5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.81,0.85,Normal,,38.6,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.16,0.24,Normal,,26.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.05,1.61,Normal,,5.8,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.79,1.79,Normal,,3.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.56,1.58,Normal,,2.2,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.87,1.86,Normal,,1.3,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.98,0.85,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.50,1.46,Normal,,7.7,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.16,0.99,Normal,,7.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.37,0.37,Normal,,9.9,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.16,1.19,Normal,,17.7,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.63,Normal,,10.2,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.65,1.55,Normal,,3.1,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.07,1.18,Normal,,24.6,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.86,0.84,Normal,,38.3,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.12,2.12,Normal,,25.1,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.63,Normal,,2.3,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,9.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,18.1,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.56,1.82,Normal,,6.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.69,2.69,Normal,,48.,8,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.43,1.41,Normal,,27.5,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.84,2.78,Normal,,56.3,,,
