River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.80,0.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.51,2.47,Normal,,8.2,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.27,10.18,Normal,,2.3,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.69,1.59,Normal,,1.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.67,0.68,Normal,,12.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.79,0.78,Normal,,1.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.75,0.74,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.15,2.15,Normal,,0.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.40,6.34,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.04,2.02,Normal,,2.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.23,2.21,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.96,5.90,Alert,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.88,1.85,Normal,,3.8,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.79,1.76,Normal,,5.2,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.60,0.58,Normal,,13.5,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.80,2.79,Normal,,8.7,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.84,0.75,Normal,,3.5,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.27,0.26,Normal,,5.8,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.11,1.11,Normal,,2.6,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.11,1.10,Normal,,3.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.12,1.11,Normal,,2.6,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.49,Normal,,0.6,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.10,0.10,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.80,0.79,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.44,0.44,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.21,0.21,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.45,0.40,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.10,-3.15,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.52,1.52,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.10,1.10,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.39,0.38,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.00,2.00,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.68,0.68,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.28,3.22,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.85,1.85,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.04,1.04,Normal,,0.3,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.86,2.82,Normal,,4.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.51,Normal,,11.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.26,2.20,Normal,,10.0,,,
