Weather Forecast for Main Cities Date : 24-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,26,85,45,Mainly fair
Batticaloa,35,26,85,40,Showers or thundershowers after 4.00p.m
Colombo,31,26,85,55,Showers at times
Galle,29,26,90,80,Showers at times
Jaffna,33,27,85,60,Mainly fair
Kandy,29,22,90,60,Showers at times
Nuwara-Eliya,19,15,95,65,Showers at times
Ratnapura,30,25,95,65,Showers at times
Trincomalee,37,26,80,40,Mainly fair
Mannar,31,27,85,70,Mainly fair
