Date : 11-Apr-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,35,25,95,55,Showers or thundershowers are likely after 2.00p.m
Batticaloa,32,26,90,70,Showers or thundershowers are likely after 2.00p.m
Colombo,33,26,85,60,Showers or thundershowers are likely after 2.00p.m
Galle,32,26,85,70,Showers or thundershowers after 2.00p.m
Jaffna,34,26,90,65,Mainly fair
Kandy,32,22,95,55,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,23,12,80,40,Showers or thundershowers are likely after 2.00p.m
Ratnapura,34,24,95,60,Showers or thundershowers after 2.00p.m
Trincomalee,35,25,90,50,Mainly fair
Mannar,34,25,90,70,Showers or thundershowers are likely after 2.00p.m
