River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.80,1.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.50,2.48,Normal,,2.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.30,10.28,Normal,,8.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.80,1.59,Normal,,11.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.63,0.63,Normal,,0.6,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.81,0.81,Normal,,1.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.73,0.73,Normal,,1.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.95,0.92,Normal,,2.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.76,5.73,Normal,,0.8,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.75,1.74,Normal,,3.2,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.98,2.11,Normal,,7.9,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,3.50,3.49,Normal,,8.7,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.85,1.85,Normal,,2.5,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.06,2.10,Normal,,10.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.13,1.13,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.04,4.04,Normal,,5,,.6,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.22,1.23,Normal,,8.1,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.72,0.71,Normal,,7.1,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.27,1.27,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.26,0.24,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.58,0.58,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.29,1.29,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.20,-0.20,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.35,0.35,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.28,0.28,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.00,-0.01,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.05,-3.07,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.68,1.80,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.20,Normal,,,4.4,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.23,0.22,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.50,1.50,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.50,0.50,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.09,1.08,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.29,0.29,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.64,0.62,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.53,2.53,Normal,,1.7,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.28,1.27,Normal,,0.3,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.88,1.87,Normal,,0.0,,,
