River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.60,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.92,Normal,,14,,.4,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.19,10.99,Normal,,9.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.60,1.34,Normal,,9.2,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.94,0.93,Normal,,1,1.8,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.08,1.08,Normal,,8.9,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.81,0.81,Normal,,4.4,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.91,2.91,Normal,,5.4,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.50,8.47,Normal,,24.6,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.54,3.50,Normal,,26.4,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.75,Normal,,21.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.05,7.04,Minor Flood,Falling,9.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.97,2.94,Normal,,7.2,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.06,2.05,Normal,,3.4,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.99,0.98,Normal,,4.3,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.60,3.52,Normal,,2.9,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.87,0.86,Normal,,6.4,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.34,0.33,Normal,,5.7,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.09,1.08,Normal,,1.5,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.20,1.19,Normal,,2.2,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.17,1.17,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.50,1.50,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.23,0.19,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.99,0.98,Normal,,0.9,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.24,0.24,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.45,0.43,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.14,-3.14,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.05,2.00,Normal,,9.4,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.41,1.40,Normal,,19.6,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.48,0.48,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.59,2.53,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.63,0.62,Normal,,1.8,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.08,4.05,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,3.65,3.63,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.00,4.00,Normal,,22.2,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.65,3.60,Normal,,6.8,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.50,2.43,Normal,,1.1,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.38,4.34,Alert,Falling,7.1,,,
