River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.40,2.40,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.34,5.24,Normal,,9.3,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.58,12.44,Normal,,6.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.31,2.38,Normal,,11.7,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.32,1.30,Normal,,7.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.51,1.49,Normal,,32.4,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.09,1.09,Normal,,,16.5,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.35,2.40,Normal,,29,,.1,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.52,8.53,Normal,,,21.7,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.45,4.38,Normal,,,19.0,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.69,4.55,Alert,Falling,6.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.31,6.35,Alert,Rising,27,,.2,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.00,2.97,Normal,,50.2,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.27,3.30,Normal,,52.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.07,1.08,Normal,,,22.2,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.84,4.81,Normal,,35.9,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.69,1.65,Normal,,,20.2,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.93,0.88,Normal,,28,,.3,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.98,0.97,Normal,,11.1,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.16,0.16,Normal,,3.4,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.62,0.61,Normal,,0.5,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.05,1.05,Normal,,5.4,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.29,-0.29,Normal,,1.9,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,2.8,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.13,0.15,Normal,,0.0,,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-0.56,-0.54,Normal,,0.3,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.58,0.60,Normal,,0.3,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.50,-2.63,Normal,,0.0,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.65,3.80,Normal,,6.0,,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.98,1.96,Normal,,8.5,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.38,0.38,Normal,,0.1,,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.36,1.37,Normal,,6.7,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.61,1.61,Normal,,1.6,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.35,0.35,Normal,,2.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.73,2.11,Normal,,38.1,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.07,0.07,Normal,,11.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.93,1.93,Normal,,6.2,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.97,3.95,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,3.00,2.91,Normal,,34.7,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.42,2.38,Normal,,0.0,,,
