River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,0.70,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.78,0.79,Normal,,38.3,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.64,8.60,Normal,,7.8,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.65,1.54,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.30,0.29,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.11,0.12,Normal,,0.3,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.45,0.45,Normal,,0.6,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.65,0.49,Normal,,10.7,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.08,4.07,Normal,,6.9,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.70,0.70,Normal,,0.9,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.11,1.06,Normal,,30.3,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.33,2.31,Normal,,7.2,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,0.95,0.91,Normal,,0.5,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.12,1.12,Normal,,3.9,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.54,0.48,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.25,2.25,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.34,0.34,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.06,0.06,Normal,,0.5,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.88,0.90,Normal,,6.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.54,0.61,Normal,,8.1,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.88,0.88,Normal,,7.8,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.25,1.25,Normal,,9.8,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.04,0.04,Normal,,1,6.7,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.08,1.06,Normal,,12.2,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.78,0.76,Normal,,1,9.6,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.97,1.02,Normal,,25.,,4,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.45,1.50,Normal,,10.8,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-2.18,-1.88,Normal,,24.,,0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.15,1.32,Normal,,0.7,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.63,0.64,Normal,,0.9,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.67,0.67,Normal,,1,8.7,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.15,2.20,Normal,,31.7,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.73,0.73,Normal,,3.1,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.62,1.62,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.19,0.19,Normal,,3.2,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.20,0.20,Normal,,0.3,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.82,1.82,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.73,0.74,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.17,0.16,Normal,,0.0,,,
