Weather Forecast for Main Cities Date : 6-Jun-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,25,90,60,Mainly fair
Batticaloa,34,27,85,60,Showers or thundershowers are likely after 2.00p.m
Colombo,30,25,90,75,Showers or thundershowers at times
Galle,29,25,90,80,Showers or thundershowers at times
Jaffna,32,28,85,70,Mainly fair
Kandy,28,22,95,80,Showers or thundershowers at times
Nuwara-Eliya,18,15,95,85,Showers or thundershowers at times
Ratnapura,30,24,95,75,Showers or thundershowers at times
Trincomalee,34,27,80,55,Mainly fair
Mannar,32,28,85,70,Mainly fair
