Kegalle,,"*Mawanella
and
Yatiyanthota
Divisional Secretariat
Divisions (DSD) and
surrounding areas.","↑Aranayake
Deraniyagala
Bulathkohupitiya,
Warakapola
Rambukkana,
Galigamuwa
Kegalle and
Dehiowita
Divisional
Secretariat Division
(DSD) and
surrounding areas.",,"හදුනාග න ඇති
ප්‍රගේශ්‍
tpNrlkhf: NBROtpdhy;
Kd;dh;
milahsg;gLj;jg;gl;l
kz;rhpTf;fhd
VjepiyAs;s rfy
gpuNjrq;fs;.",
Kurunegala,,,"Mawathagama and
Polgahawela
Divisional
Secretariat Division
(DSD) and
surrounding areas.",,,
Kandy,,"Gangaihalakorale
Thumpane
Kandy Four Gravets &
Gangawatakorale and
Pathahewaheta
Divisional Secretariat
Divisions (DSD) and
surrounding areas.",,,,
Nuwara-Eliya,,"*Nuwara Eliya
↓Ambagamuwakorale
Kotmale
Divisional Secretariat
Division (DSD) and
surrounding areas.",,,,
,,,,,,
,"Note: ↑shifted one level up, ↑↑shifted two levels up, ↓shifted one level down, ↓↓shifted two levels down.",,,,,
,*newly added with the last update,,,,,
"Special Note: These warning levels are issued based on the cumulative rainfall received to respective areas and
given weather forecast by meteorological department of Sri Lanka",,,,,,
