Weather Forecast for Main Cities Date : 22-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,26,90,50,Mainly fair
Batticaloa,35,25,85,65,Mainly fair
Colombo,31,27,85,70,Several spells of light showers
Galle,29,26,90,85,Several spells of showers
Jaffna,33,27,90,70,Mainly fair
Kandy,29,22,95,70,Several spells of light showers
Nuwara-Eliya,18,14,95,75,Several spells of light showers
Ratnapura,32,25,95,75,Several spells of showers
Trincomalee,37,27,75,45,Mainly fair
Mannar,31,27,85,75,Mainly fair
