"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka දිනය
/jpfjp / Date : 09th December 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j
jpfjp Date
of commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpas
T
Partially","කුඩා හා මධය පරිමාණ
වයාපාරික ස්ත්‍රථාන
சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;if
No. of
Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"උතුරු පලාත
tl khfhzk
Northen",1,"මන්නාරම
kd;dhH
Mannar",Mannar Town,(Burevi) Cyclone,2020.12.02,831,3050,,,,,7,2,,,,,
,,,Nanaddan,,,133,343,,,,,28,,,,,,
,,,Musali,,,16,39,,,,,2,,,,,,
,,,Manthai West,,,907,3294,,,,,14,,,,,,
,,,Madhu,,,340,1058,,,,1,21,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2227,7784,0,0,0,1,72,2,0,0,0,0,
,2,"යාපනය
aho;g;ghzk;
Jaffna",Karaveddy,(Burevi) Cyclone,2020.12.01/02,678,2299,,,,7,60,16,3,,,,
,,,Chankanai,,2020.12.01/02,2397,8278,1,1,,62,234,402,2,,,,
,,,Tellippalai,,2020.12.02,335,1205,,,,,25,,,,,,
,,,Jaffna,,,2969,9787,,,,,2,3,,,,,
,,,Sandilippay,,,2304,8417,,,,,136,11,,1,16,61,
,,,Maruthankerny,,,408,1258,,,,,33,2,,,,,
,,,Chavakachcheri,,,2962,9991,1,,,7,790,1,,4,30,113,
,,,Delft,,,1191,3618,,,,3,67,334,16,,,,
,,,Uduvil,,,1451,4989,,,,,66,1,5,,,,
,,,Point Pedro,,,1337,4703,,5,,15,1322,2,,,,,
,,,Kopay,,,4981,15561,,,,2,190,167,7,3,19,65,
,,,Nallur,,,2992,9787,,,,,52,77,,,,,
,,,Karainagar,,,210,750,,,,,16,,,,,,
,,,Kayts,,,371,1306,,,,,50,2,2,,,,
,,,Velanai,,,911,3190,,,,,41,25,2,1,12,52,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,25497,85139,2,6,0,96,3084,1043,37,9,77,291,
,3,"කිලිනනාච්චිය
fpspnehr;rp
Killinochchi",Karachchi,(Burevi) Cyclone,2020.12.02,720,2213,,,,,40,,6,,,,
,,,Kandawalai,,,249,676,,,,,7,,,,,,
,,,Poonakary,,,827,2155,,,,4,198,,,2,88,134,
,,,Pachchilaipallal,,,299,983,,,,,34,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2095,6027,0,0,0,4,279,0,6,2,88,134,
,4,,Maritimepattu,(Burevi) Cyclone,2020.12.02,183,605,,,,,35,3,,,,,
,,,Puthukkudiyiruppu,,,13,29,,,,1,1,,,,,,
,,මුලතිව්,Oddusuddan,,,115,357,,,,,,,,,,,
,,"Ky;iyj;jPT
Mulaitivu",Thunukkai,,,212,562,,,,,,,,,,,
,,,Manthai East,,,237,805,,,,,,,,,,,
,,,Welioya,,,34,97,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,794,2455,0,0,0,1,40,3,0,0,0,0,
,5,"වව්ියාව
tTdpah
Vavuniya",Vavuniya,(Burevi) Cyclone,2020.12.02,15,63,,,,,15,,,,,,
,,,Vavuniya North,,2020.12.03,84,255,,,,,4,3,,,,,
,,,Vavuniya South,,2020.12.02,3,10,,,,,3,,,,,,
,,,Vengala Cheddikulam,,2020.12.03,35,96,,,,,35,,,,,,
,,,Vavuniya,Drowning,2020.12.06,1,4,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,138,428,1,0,0,0,57,3,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,30751,101833,3,6,0,102,3532,1051,43,11,165,425,
