"Weather Forecast for Main Cities
Date : 26-Sep-2026",,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,26,90,65,Mainly fair
Batticaloa,35,26,85,55,Showers or thundershowers are likely after 2.00p.m
Colombo,29,25,90,75,Several spells of showers
Galle,29,24,95,80,Showers or thundershowers at times
Jaffna,32,27,90,65,Mainly fair
Kandy,28,23,90,75,Several spells of showers
Nuwara-Eliya,18,14,95,85,Several spells of light showers
Ratnapura,29,24,95,90,Showers or thundershowers at times
Trincomalee,34,27,85,55,Mainly fair
Mannar,32,27,80,70,Mainly fair
