River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,7.00,7.05,Major Flood,Rising,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,10.88,10.88,Major Flood,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,18.70,18.55,Minor Flood,Falling,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.50,2.80,Normal,,2.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.06,2.00,Normal,,,0.3,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.86,1.83,Normal,,,0.7,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.52,1.51,Alert,Falling,,,1.2,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,4.09,4.10,Minor Flood,Rising,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,NA,NA,,,-,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,7.47,7.41,Alert,Falling,,,1.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.12,4.08,Alert,Falling,0.0,,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,8.08,8.06,Major Flood,Falling,,0.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.84,2.80,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.29,2.27,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.44,1.41,Alert,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.26,4.23,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.36,1.35,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.87,0.86,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.92,1.92,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.98,1.96,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.34,1.34,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.14,2.13,Normal,,0.0,,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.40,1.40,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.97,1.95,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.42,1.41,Normal,,0.0,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,NA,NA,,,-,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,NA,NA,,,-,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,NA,NA,,,-,,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,NA,NA,,,-,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,NA,NA,,,-,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,NA,NA,,,-,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,7.60,7.60,Minor Flood,,2.8,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.90,1.85,Normal,,-,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,NA,NA,,,-,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,NA,NA,,,-,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,NA,NA,,,-,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,10.69,10.30,Major Flood,Falling,,0.5,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,5.02,4.80,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.50,5.42,Minor Flood,Falling,,0.5,,
