Date : 18-May-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,25,95,70,Several spells of showers
Batticaloa,34,27,90,70,Showers or thundershowers after 2.00p.m
Colombo,31,26,95,80,Showers or thundershowers at times
Galle,30,26,95,80,Showers or thundershowers at times
Jaffna,32,27,95,80,Showers or thundershowers at times
Kandy,31,23,95,75,Showers or thundershowers at times
Nuwara-Eliya,19,15,95,80,Showers or thundershowers at times
Ratnapura,32,24,95,80,Showers or thundershowers at times
Trincomalee,34,26,90,65,Showers or thundershowers after 2.00p.m
Mannar,31,25,95,80,Showers or thundershowers at times
