"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :17th May 2022 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,1,,Rathnapura,"Flood / Landslide
Risk / High Wind /
Heavy Rain/
Lightning / Cutting
Failiture","2022.05.13/14/15/
16",1256,5140,,,,,12,,,,,,
,,,Elapatha,,,381,1439,,,,,8,,,,,,
,,,Kuruvita,,,79,305,,,,,13,1,,,,,
,,,Nivithigala,,,7,24,,,,,7,,,,,,
,,,Eheliyagoda,,,2,7,,,,,2,,,,,,
,,,Pelmadulla,,,96,395,,,,,84,12,,,,,
,,,Kiriella,,,57,193,,,,,4,,,,,,
,,රත්නපුර,Kolonna,,,2,8,,1,,,2,1,,,,,
,,",uj;jpdGhp
Rathnapura",Ayagama,,,34,151,,,,,,,,,,,
,,,Kalawana,,,61,221,,,,,19,3,,,,,
,,,Ibulpe,,,2,7,,,,,2,,,,,,
,,,Opanayaka,,,5,13,,,,,5,,,,,,
,,,Godakawela,,,4,15,,,,,4,,,,,,
,,,Balangoda,,,2,6,,,,,2,,,,,,
,,,Kahawaththa,,,2,8,,,,,2,,,,,,
,,,Weligapola,,,1,2,,,,,2,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,1991,7934,0,1,0,0,168,17,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,1991,7934,0,1,0,0,168,17,0,0,0,0,
,2,,Beruwala,"High Wind /Heavy
Rain/ Lightning",2022.05.13/14/15,4,16,,,,,4,,,,,,
,,,Bulathsinhala,,,21,74,,1,,,6,,,,,,
,,,Palindanuwara,,,2,7,,,,,2,,,,,,
,,,Dodangoda,,,6,21,,,,,6,,,,,,
,,,Mathugama,,,4,15,,,,,4,,,,,,
,,,Ingiriya,,,36,133,,,,,7,,,,,,
,,කළුතර,Kalutara,,,4,13,,,,,4,,,,,,
,,"fSj;Jiw
Kalutara",Bandaragama,,,1,5,,,,,1,,,,,,
,,,Agalawatta,,,7,27,,,,,7,,,,,,
,,,Walallavita,,,5,22,,,,,5,,,,,,
,,,Horana,,,1,1,,,,,1,,,,,,
,,,Madurawala,,,4,13,,,,,4,,,,,,
,,,Millaniya,,,7,29,,,,,7,,,,,,
,,,Panadura,,,6,21,,,,,6,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,108,397,0,1,0,0,64,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,108,397,0,1,0,0,64,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,2099,8331,0,2,0,0,232,17,0,0,0,0,
,,,"ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
