River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.20,1.90,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.30,0.31,Normal,,0.0,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.57,8.60,Normal,,0.0,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.22,1.43,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.29,0.29,Normal,,0.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.10,0.14,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.41,0.41,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.76,0.69,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.84,3.85,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.50,0.53,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.74,0.74,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.74,1.70,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.25,1.25,Normal,,0.0,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,0.99,1.00,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.35,0.35,Normal,,,9.4,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.96,1.95,Normal,,0.8,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.21,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.00,0.00,Normal,,0.0,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.90,0.89,Normal,,0.8,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.60,0.60,Normal,,2.1,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.92,0.94,Normal,,3.3,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,2.18,2.18,Normal,,2.2,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.07,-0.08,Normal,,2.7,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.87,0.87,Normal,,,8.8,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.61,0.59,Normal,,13.,,7,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.05,1.10,Normal,,19.7,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.19,1.30,Normal,,22.6,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-2.30,Normal,,14.,,6,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.30,1.17,Normal,,1.6,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.61,0.62,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.55,0.54,Normal,,12.,,6,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.39,1.38,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.64,0.64,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.12,0.12,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.79,1.79,Normal,,0.0,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.70,0.70,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.07,0.07,Normal,,0.0,,,
