River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.40,0.45,Normal,,-,,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,1.77,1.77,Normal,,1.5,,,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,10.27,10.25,Normal,,2.8,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.99,1.86,Normal,,5.6,,,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.43,0.43,Normal,,1.4,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,0.85,0.85,Normal,,2.1,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,0.3,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.43,0.35,Normal,,0.9,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.95,4.94,Normal,,1.9,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.35,1.32,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.51,1.48,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.45,2.41,Normal,,0.8,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.31,1.29,Normal,,5.6,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.50,1.58,Normal,,18.6,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.36,0.33,Normal,,25.2,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.70,2.71,Normal,,4.2,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.63,0.63,Normal,,,9.7,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.08,0.09,Normal,,1.8,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.55,0.56,Normal,,0.0,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.21,0.21,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.63,0.63,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.93,0.93,Normal,,0.0,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.72,0.72,Normal,,14,,.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.22,0.22,Normal,,4.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.03,0.03,Normal,,0.1,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.01,-0.04,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.22,-3.26,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.24,3.24,Normal,,0.5,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.54,1.54,Normal,,5.7,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.24,0.20,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.66,1.66,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,0.86,0.86,Normal,,0.0,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.10,0.10,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.00,0.00,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.98,1.98,Normal,,0.2,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.93,0.94,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.54,0.52,Normal,,1.4,,,
