Weather Forecast for Main Cities Date : 13-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,25,85,55,Mainly fair
Batticaloa,33,26,95,70,Showers or thundershowers are likely after 2.00p.m
Colombo,31,27,85,70,Showers at times
Galle,29,26,95,85,Showers at times
Jaffna,32,27,90,65,Mainly fair
Kandy,29,23,90,65,Several spells of showers
Nuwara-Eliya,21,15,95,70,Several spells of showers
Ratnapura,32,25,95,80,Showers at times
Trincomalee,36,27,80,45,Mainly fair
Mannar,29,26,90,75,Mainly fair
