"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :29th October 2023 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌෙ
Cth khfhzk;
Uva",,"බදුල්ල
gJs;is
Badulla",Haldumulla,"Land Slide Risk /
Cutting Faliure /
Heavy Rain",2023.10.12 to 18,355,1308,,,,3,49,,,4,178,592,
,,,Badulla,,,2,6,,,,,2,,,,,,
,,,Haaliela,,,6,17,,,,,6,,,,,,
,,,Bandarawela,,,7,17,,,,,7,,,1,3,7,
,,,Welimada,,,7,30,,,,,7,,,,,,
,,,Ella,,,10,37,,,,,3,,,1,3,9,
,2,,Passara,,,9,40,,,,,9,,,,,,
,,,Uwaparanagama,,,4,14,,,,,4,,,,,,
,,,Rideemaliyedda,,,2,6,,,,,2,,,,,,
,,,Lunugala,,,1,4,,,,,1,,,,,,
,,,Haputale,,,42,166,,,,,14,,,2,26,103,
,,,Soranatota,,,5,18,,,,,5,,,,,,
,,,Mahiyanganaya,,,3,11,,,,,3,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,453,1674,0,0,0,3,112,0,0,8,210,711,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,453,1674,0,0,0,3,112,0,0,8,210,711,
"දකුනු පලාත
njd; khfhzk;
Southern",3,"මාතර
khj;jiw
Matara",Akuressa,Flood / Heavy Rain,"2023.09.28 to
2023.10.23",31,130,,,,11,29,,,,,,
,,,Thihagoda,,,120,492,,,,,33,,,,,,
,,,Maalimboda,,,15,66,,,,,15,,,,,,
,,,Devinuwara,,,176,694,,,,,53,,,1,4,21,
,,,Weligama,,,124,337,,,,,44,,,,,,
,,,Kamburupitiya,,,102,433,,,,,39,,,,,,
,,,Athuraliya,,,17,57,,,,,17,,,,,,
,,,Kirinda puhulwela,,,41,156,,,,,41,,,,,,
,,,Pasgoda,,,99,387,,,,,10,,,,,,
,,,Hakmana,,,72,275,,,,,72,,,,,,
,,,Matara,,,128,557,,,,8,119,,,,,,
,,,Pitabeddara,,,39,147,,,,,39,,,,,,
,,,Mulatiyana,,,39,162,,,,,11,,,,,,
,,,Kotapola,,,9,45,,,,,7,,,,,,
,,,Dikwella,,,110,415,,,,,110,,,,,,
,,,Welipitiya,,,38,133,,,,2,30,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,1160,4486,0,0,0,21,669,0,0,1,4,21,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,1160,4486,0,0,0,21,669,0,0,1,4,21,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,1613,6160,0,0,0,24,781,0,0,9,214,732,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
