"th
දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :28 March 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"Western Nky;
khfhzk;
බස්නාහිර පලාත",1,"ගම්පහ fk;g`h
Gampaha",Diwulapitiya,Drought,2024.02.26,2351,7053,,,,,,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,2351,7053,0,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,2351,7053,0,0,0,0,0,0,0,0,0,0,
"සබරගමුෙ පලාත
rg;ufKt
Sabaragamuwa",2,,Warakapola,Drought,2024.03.11,56,271,,,,,,,,,,,"Drinking water is
distributing"
,,,Ruwanwella,Drought,2024.03.11,110,550,,,,,,,,,,,
,,කෑගල්ල Nffhiy,Yatiyanthota,Drought,2024.03.14,80,289,,,,,,,,,,,
,,Kegalle,Dareniyagala,Drought,2024.03.17,95,394,,,,,,,,,,,
,,,Dehiovita,Drought,2024.03.19,160,672,,,,,,,,,,,
,,,Galigamuwa,Drought,2024.03.18/19,209,744,,,,,,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,710,2920,0,0,0,0,0,0,0,0,0,0,
,3,"රත්නපුර
,uj;jpdGhp
Rathnapura",Godakawela,Highwind,2024.03.27,1,3,,,,,1,,,,,,
,දිස්ික් එකතුෙ/khtl;l $l;Lj;njhif/District Total,,,,,1,3,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ/ khfhz $l;Lj;njhif/Province Total,,,,,711,2923,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3062,9976,0,0,0,0,1,0,0,0,0,0,
,,,ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
