"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 30th May 2025 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,Pallama,,,20,86,,,,,20,,,,,,
,,,Nawagattegama,,,4,16,,,,,4,,,,,,
,,,Puttalama,,,1,4,,,,,1,,,,,,
,,,Anamaduwa,,,17,53,,,,,17,,,,,,
,,,Wanatavilluwa,,,1,6,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",2,,Hambanthota,,2025.05.19,1,1,,,,,1,,,,,,
,,,Katuwana,,2025.05.30,1,2,,,,,1,,,,,,
,,,,,2025.05.27,4,13,,,,,4,,,,,,
,,හම්බනකතාට,,,2025.05.28,3,11,,,,,3,,,,,,
,,`k;ghe;Njhl;il,Walassmulla,High Wind,,1,7,,,,,1,,,,,,
,,Hambantota,Thangalla,,,1,4,,,,,1,,,,,,
,,,,,2025.05.29,3,12,,,,,3,,,,,,
,,,Weeraketiya,,2025.05.28,1,4,,,,,1,,,,,,
,,,Agunakolapelessa,,2025.05.25,1,3,,,,,1,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,57,0,0,0,0,16,0,0,0,0,0,
,3,,Niyagama,Tree fallen,2025.05.30,1,3,,,,,1,,,,,,
,,ගාල්ල,Ratngama,,2025.05.29,1,5,,,,,1,,,,,,
,,"fhyp
Galle",Nagoda,,2025.05.30,1,5,,,,,1,,,,,,
,,,Yakkalamulla,,2025.05.29,,,,,,,,,1,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,3,13,0,0,0,0,3,0,1,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,19,70,0,0,0,0,19,0,1,0,0,0,
,4,"කළුතර
fSj;Jiw
Kalutara",Beruwala,High Wind,2025.05.30,25,102,,,,,25,,,,,,
,,,Kaluthara,,2025.05.30,5,16,,,,,4,,,,,,
,,,Matugama,,2025.05.29,5,19,,,,,5,,,,,,
,,,Dodangoda,,2025.05.30,4,10,,,,,4,,,,,,
,,,Bulathsighala,,2025.05.29,1,,,,,,,,,,,,
,,,Palindanuwara,,2025.05.30,1,3,,,,,1,,,,,,
,,,Walallavita,,2025.05.30,4,13,,,,,4,,,,,,
,,,Ingiriya,,2025.05.29,21,78,,,,,21,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,66,241,0,0,0,0,64,0,0,0,0,0,
"Western
Nky; khfhzk
බස්නාහිර පලාත",5,"කකාළඹ
nfhOk;G
Colombo",Homagama,High Wind/Lightning,2025.05.25/26,26,106,,,,,26,,,,,,
,,,Kaduwela,High Wind,2025.05.26/27/28,11,47,,,,,11,,,,,,
,,,,,2025.05.30,11,42,,,,,11,,,,,,
,,,Seetawaka,High Wind,2025.05.28,7,26,,,,,7,,,,,,
,,,Kolonnawa,High Wind,2025.05.30,11,41,,,,,10,,1,,,,
,,,Rathmalana,High Wind,2025.05.30,12,48,,,,,12,,,,,,
,,,Padukka,High Wind,2025.05.30,10,41,,,,,10,,,,,,
,,,Dehiwala,High Wind,2025.05.30,8,34,,,,,8,,,,,,
,,,Tibirigasyaya,High Wind,2025.05.30,12,41,,5,,,10,,,,,,
,දිස්ික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,108,426,0,5,0,0,105,0,1,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,174,667,0,5,0,0,169,0,1,0,0,0,
