"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :14th May 2022 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,1,,Rathnapura,Flood,2022.05.13,324,1346,,,,,,,,3,7,25,
,,,,Cutting Faliure,,4,16,,,,,3,,,,,,
,,,,High Wind,,4,13,,,,,4,,,,,,
,,,Elapatha,Flood,2022.05.13,173,632,,,,,,,,,,,
,,,,High Wind,,1,5,,,,,1,,,,,,
,,,Ayagama,Flood,,2,5,,,,,,,,,,,
,,,Kalawana,High Wind,2022.05.13,3,12,,,,,3,,,,,,
,,,,Flood,2022.05.14,11,38,,,,,11,,,,,,
,,,Pelmadulla,Flood,2022.05.13,27,100,,,,,27,,,,,,
,,,,High Wind,,1,5,,,,,1,,,,,,
,,,,Cutting Faliure,,1,4,,,,,1,,,,,,
,,රත්නපුර,Kuruwita,Flood,2022.05.13,2,8,,,,,,,,,,,
,,",uj;jpdGhp",,High Wind,,7,27,,,,,7,,,,,,
,,Rathnapura,,Cutting Faliure,,1,3,,,,,1,,,,,,
,,,Kahawatta,High Wind,2022.05.14,1,4,,,,,1,,,,,,
,,,,Cutting Faliure,,1,4,,,,,1,,,,,,
,,,Balangoda,Cutting Faliure,2022.05.13,1,2,,,,,1,,,,,,
,,,,High Wind,,1,4,,,,,1,,,,,,
,,,Opanayake,High Wind,2022.05.13,1,1,,,,,1,,,,,,
,,,Godakawela,High Wind,2022.05.14,1,3,,,,,1,,,,,,
,,,Nivithigala,Flood,2022.05.13,4,14,,,,,4,,,,,,
,,,Kiriella,High Wind,2022.05.13,3,9,,,,,3,,,,,,
,,,,Flood,2022.05.14,10,32,,,,,,,,,,,
,,,Kolonna,Cutting Faliure,2022.05.14,1,3,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,585,2290,0,0,0,0,73,0,0,3,7,25,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,585,2290,0,0,0,0,73,0,0,3,7,25,
,2,,Bulathsinhala,High Wind,2022.05.13,2,8,,,,,2,,,,,,
,,,Dodangoda,,2022.05.14,1,3,,,,,1,,,,,,
,,,Ingiriya,,2022.05.14,1,3,,,,,,,,,,,
,,කළුතර fSj;Jiw,Walallavita,,2022.05.13,5,22,,,,,,,,,,,
,,Kalutara,Beruwala,,2022.05.13,2,8,,,,,2,,,,,,
,,,Matugama,,2022.05.14,2,7,,,,,2,,,,,,
,,,Kalutara,,2022.05.13/14,2,7,,,,,1,,,,,,
,,,Agalawatta,,2022.05.13,1,4,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,16,62,0,0,0,0,9,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,16,62,0,0,0,0,9,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,601,2352,0,0,0,0,82,0,0,3,7,25,
,,,"ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
