River Basin,Tributory/River,Gauging Station,,,,,,,"Water
Level
before
1hr","Water
Level at
9.00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF in
mm at 9.00
am"
,Kuda Oya,Kuda Oya,"6° 31' 28.8'' N
81° 07' 24'' E",291,m,6.90,8.40,8.80,1.83,1.86,Normal,,0.0
"Menik Ganga
(RB 26)
Kumbukkan Oya
(RB 31)",Menik Ganga,Katharagama,"6° 24' 60.0'' N
81° 19' 57'' E",796.8,m,,,,0.40,0.40,,,19.1
,Kumbukkan Oya,Nakkala,"6° 53' 42.4'' N
81° 17' 49.3'' E",216,m,5.00,6.00,7.50,0.88,0.88,Normal,,1.3
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,"6° 54' 16.5'' N
81° 32' 44.4'' E",295,m,4.50,5.00,5.60,0.62,0.62,Normal,,1.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,"7° 23' 0'' N
81° 11' 30'' E",159,m,4.00,4.50,6.00,0.22,0.22,Normal,,0.6
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya ( Old),"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,3.50,5.00,6.00,-0.71,-0.71,Normal,,1.4
,,Manampitiya (HMIS),"7° 54' 53.3'' N
81° 5' 10'' E",7418,m,4.65,6.15,7.15,0.43,0.43,Normal,,1.4
,Mahaweli Ganga,Weragantota,"7° 19' 0'' N
80° 59' 18.3'' E",4092,m,5.00,6.00,8.00,-2.71,-2.74,Normal,,1.4
,Mahaweli Ganga,Peradeniya,"7° 16' 3'' N
80° 36' 30'' E",1168,m,5.00,7.00,9.00,1.99,1.97,Normal,,41.8
,Mahaweli Ganga,Nawalapitiya,"7° 2' 55'' N
80° 32' 3'' E",176,m,3.00,4.00,4.50,1.17,1.16,Normal,,16.8
,Badulu Oya,Taldena (HMIS),"7° 5' 26.7'' N
81° 2' 53.3'' E",276,m,3.00,4.00,5.00,0.52,0.53,Normal,,23.9
,Agra Oya,Calidonia,"6° 54' 8.3'' N
80° 42' 00'' E",148,m,-,-,-,0.68,0.69,Normal,,67.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,"8° 34' 39.44'' N
80° 52' 43.25'' E",720,m,6.00,7.50,10.50,1.77,1.77,Normal,,2.4
Maa Oya (RB 69),Mukunu Oya,Yakawewa,"8° 43' 19'' N 80°
40' 50'' E",,m,,,,0.49,0.50,,,1.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,"8° 35' 13.57'' N
80° 16' 31.14'' E",2116,m,6.75,7.25,_,1.20,1.20,Normal,,74.3
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,"7° 58' 13.3'' N
80° 15' 18.3'' E",299,m,4.84,5.94,8.00,1.13,1.15,Normal,,47.9
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),"7° 43' 36'' N 80°
15' 48'' E",1370,m,_,_,_,1.92,1.90,,,57.9
"Maha Oya
(RB 102)",Maha Oya,Badalgama,"7° 18' 3.3'' N
79° 58' 50'' E",1360,m,5.00,6.20,9.60,3.57,3.58,Normal,,54.0
,Maha Oya,Giriulla,"7° 19' 30'' N
80° 6' 53.3'' E",1192,m,5.50,6.50,7.50,2.75,2.70,Normal,,34.7
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,"7° 7' 0'' N
80° 4' 54.5'' E",153,m,3.30,4.40,5.50,3.82,3.80,Alert,Falling,29.2
