Weather Forecast for Main Cities Date : 11-Mar-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,33,22,95,55,A few showers
Batticaloa,31,24,90,70,Mainly fair
Colombo,33,23,90,60,Mainly fair
Galle,32,24,85,60,Showers or thundershowers are likely after 2.00p.m
Jaffna,31,22,95,60,A few showers
Kandy,31,16,95,45,Showers or thundershowers are likely after 2.00p.m
Nuwara-Eliya,21,7,90,50,Showers or thundershowers are likely after 2.00p.m
Ratnapura,36,23,95,50,Showers or thundershowers are likely after 2.00p.m
Trincomalee,32,24,95,65,A few showers
Mannar,32,24,90,60,A few showers
