"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :21st May 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,28,100,0,2,0,0,27,0,0,0,0,0,
"උතුරු පලොත
tl khfhzk;
Northen",2,"කිලින ොච්චිය
fpspnehr;rp
Killinochchi",Karachchi,Drought,2024.04.17,432,946,,,,,,,,,,,"Drinking water is being
distributed for drought
areas"
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,432,946,0,0,0,0,0,0,0,0,0,0,
,3,"යොප ය
aho;g;ghzk; Jaffna",Velanai,High Wind / Rain,2024.05.18,,,,,,,,1,,,,,
,,,Tellipalai,,2024.05.19,1,2,,,,,,,,,,,
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,1,2,0,0,0,0,0,1,0,0,0,0,
,පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,433,948,0,0,0,0,0,1,0,0,0,0,
,4,"ළුතර
fSj;Jiw
Kalutara",Horana,Lightning,2024.05.20,2,8,,,,,2,,,,,,
,,,Mathugama,High Wind,2024.05.19,5,16,,,,,5,,,,,,
,,,Madurawela,Cutting faliture,2024.05.19,5,14,,,,,5,,,,,,
,,,Palindanuwara,High Wind,2024.05.19,1,7,,,,,1,,,,,,
,,,Beuwela,High Wind,2024.05.20,2,5,,,,,2,,,,,,
,,,Kaluthara,High Wind,2024.05.19,6,27,,,,,6,,,,,,
,,,Bandaragama,High Wind,2024.05.20,1,5,,,,,1,,,,,,
,,,Bulathsinhala,High Wind,2024.05.20,1,3,,,,,1,,,,,,
,,,Ingiriya,High Wind,2024.05.20,2,3,,,,,2,,,,,,
,,,Agalawattha,High Wind,2024.05.19,2,7,,,,,2,,,,,,
,,,Walallawita,High Wind,2024.05.19,1,3,,1,,,1,,,,,,
,,,Millaniya,High Wind,2024.05.20,8,25,,,,,8,,,1,8,25,Roman Catholic Church
Western,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,36,123,0,1,0,0,36,0,0,1,8,25,
"Nky; khfhzk;
බස්ත්‍ර ොහිර පලොත",5,"ගම්පහ
fk;g`h Gampaha",Gampaha,Heavy Rain / Wind,2024.05.17,3,12,,,,,3,,,,,,
,,,Dompe,Lightning,2024.05.14,1,4,,,,,1,,,,,,
,,,Mahara,Heavy Rain / Lightning,2024.05.18,3,12,,,,,3,,,,,,
,,,Negombo,Flash Flood,2024.05.20,45,227,,,,,1,,,,,,
,,,Mirigama,Heavy Rain,2024.05.20,1,6,,,,,1,,,,,,
,,,Ja-Ela,Flash Flood,2024.05.20,80,300,,,,,,,,,,,
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,133,561,0,0,0,0,9,0,0,0,0,0,
,6,"න ොළඹ
nfhOk;G Colombo",Thimbirigasyaya,Flash Flood,2024.05.20,347,1491,,,,,,,,1,9,52,"Wanathamulla
Community Hall"
,දිස්ත්‍රික් එ තුව/khtl;l $l;Lj;njhif/District Total,,,,,347,1491,0,0,0,0,0,0,0,1,9,52,
,පළොත් ඵ තුව/ khfhz $l;Lj;njhif/Province Total,,,,,516,2175,0,1,0,0,45,0,0,2,17,77,
,,,Hikkaduwa,High Wind,2024.05.18,2,6,,,,,2,,,,,,
,,,Niyagama,High Wind,2024.05.18,1,3,,,,,1,,,,,,
