"Western
Nky; khfhzk;",6,"කළුතර
fSj;Jiw
Kalutara",Palindanuwara,Rock Fallen,2020.09.06,16,49,Page 2,,,,,,,1,16,44,"Situati
Gangarama Temple"
බස්ත්‍රනාහිර පලාත,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,16,49,0,0,0,0,0,0,0,1,16,44,
"වයඹ පලාත
tlNky; khfhzk;",7,"පුත්තලම
Gj;jsk;
Puttalam",Chilaw,High wind,2020.09.22,2,9,,,,,2,,,,,,
North Western,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2,9,0,0,0,0,2,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,2,9,0,0,0,0,2,0,0,0,0,0,
"දකුනු පලාත
njd; khfhzk;
Southern",8,"හම්බනවතාට
`k;ghe;Njhl;il
Hambantota",Agunukolapelessa,High Wind,2020.09.18,1,5,,,,,1,,,,,,
,,,,,2020.09.21,1,5,,,,,1,,,,,,
,,,Beliatta,Tree Fallen,2020.09.20,2,7,,,,,2,,,,,,
,,,,Heavy Rain & High Wind,2020.09.19,1,3,,,,,1,,,,,,
,,,Walasmulla,,,1,3,,,,,1,,,,,,
,,,,,2020.09.20,1,4,,,,,1,,,,,,
,,,,Tree Fallen,2020.09.21,1,3,,,,,1,,,,,,
,,,Thangalla,High Wind,2020.09.21,2,7,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,10,37,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,10,37,0,0,0,0,10,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,373,1409,3,3,0,38,268,6,0,3,63,223,
,,,"රාජකාරි භාර නිළධ්‍ාරි / flik mjpfhhp / Duty Officer : 011 2670002
මාධය ප්‍රකාශක / nra;jp njhlHghsHfs; / Media Spokesman :
ආ ප ද ා ක ළමනාකරණ මධ්‍යස්ත්‍රථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com
වවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,
……………………………………………………….,,,,,,,,,,,,,,,,,,
