Weather Forecast for Main Cities Date : 18-Aug-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,34,25,90,50,Mainly fair
Batticaloa,34,26,90,60,Showers or thundershowers are likely after 4.00p.m
Colombo,30,27,90,75,Several spells of showers
Galle,29,25,90,85,Several spells of showers
Jaffna,33,27,80,65,Mainly fair
Kandy,31,22,95,65,Showers at times
Nuwara-Eliya,19,13,95,75,Showers at times
Ratnapura,32,24,95,70,Showers at times
Trincomalee,36,26,85,45,Mainly fair
Mannar,31,26,90,75,Mainly fair
