,5,ගොල්ල/fhyp/Galle,Thawalama,Heavy Rain,2023.10.23,1,4,,,,,1,,,,,,
,,,Habaraduwa,,,2100,3800,,,,,,,,,,,
,,,Imauwa,,,20,52,,,,,,,,,,,
,,,Akmeemana,,,154,455,,,,,22,,,,,,
,,,Bope Poddala,,,5,21,,,,,5,,,,,,
,,,Kadawathsathara,,,75,181,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2355,4513,0,0,0,0,28,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,3450,8858,0,0,0,21,671,0,0,1,4,21,
,6,,Thmpane,"Heavy Rain / High
Wind",2023.10.22,4,14,,,,,4,,,,,,
,,,Haarispattuwa,,,3,15,,,,,3,,,,,,
,,නුවර fz;b,Ganga Ihala koralaya,,,1,5,,,,,1,,,,,,
,,Kandy,Deltota,,,1,2,,,,,1,,,,,,
,,,Poojapitiya,,,1,2,,,,,1,,,,,,
,,,Doluwa,,,4,19,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,14,57,0,0,0,0,14,0,0,0,0,0,
,7,"කෑගල්ල/Nffhiy/K
egalle",Rambukkana,"Tree fallen/ Heavy
Rain/Cutting Faliture",2023.10.18/19,2,7,,,,,2,,,,,,
,,,Kegalle,,2023.10.21/22,3,12,,,,,3,,,,,,
,,,Yatiyanthota,,2023.10.22,3,7,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,8,26,0,0,0,,8,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,22,83,0,0,0,0,22,0,0,0,0,0,
"වයඹ
පලොත/tlNky;
khfhzk;/ North
Western",8,"කුරුනෑගල/
FUdhfy; /
Kurunegala",Polgahawela,"Heavy Rain / High
Wind",2023.10.19,2,7,,,,,2,,,,,,
,,,Ridigama,,2023.10.21/22,2,9,,,,,2,,,,,,
,,,Bingiriya,,2023.10.22,1,6,,,,,1,,,,,,
,,,Mawathagama,,2023.10.22,1,7,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6,29,0,0,0,0,6,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,6,29,0,0,0,0,6,0,0,0,0,0,
"උතුරු ැද
පලොත/tlkj;jpa
khfhzk;/ North
Central/",9,"අනුරොධ්‍පුර/m.Guk;/
Anuradhapura",Padaviya,Highwind,2023.10.20,1,5,,,,,1,,,,,,
,,,Palugaswewa,"Heavy Rain / High
Wind",2023.10.22,1,5,,,,1,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2,10,0,0,0,1,1,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,2,10,0,0,0,1,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3912,10584,0,1,0,25,811,14,0,8,200,689,
,,,ආ ප ද ො කළ නොකරණ ධ්‍යස්ත්‍රථොනය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇ තුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
,,,ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"මවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
