Automatic Weather Station,Districts,Rainfall (mm)
Kirindiwela,Gampaha,244
Veyangoda,Gampaha,238
Avissawella,Colombo,230
Pambegama Estate,Kegalle,181
Niriella,Rathnapura,171
Thalduwa,Kegalle,146
