Weather Forecast for Main Cities Date : 26-Feb-2026,,,,,
City,Temperature (0C),,Relative Humidity (%),,Weather
,Max,Min,Max,Min,
Anuradhapura,32,21,90,60,Mainly fair
Batticaloa,30,23,90,70,Mainly fair
Colombo,31,25,90,65,Mainly fair
Galle,29,24,95,75,Showers or thundershowers are likely after 2.00p.m
Jaffna,31,22,90,65,Mainly fair
Kandy,30,18,90,50,Mainly fair
Nuwara-Eliya,21,10,85,45,Mainly fair
Ratnapura,35,22,95,50,Showers or thundershowers are likely after 2.00p.m
Trincomalee,30,23,90,65,Mainly fair
Mannar,31,25,85,60,Mainly fair
