"Western
Nky; khfhzk
;බස්ත්‍ර ොහිර පලොත",6,"කළුතර
fSj;Jiw
Kalutara",Walallawita,2024.07.14/15,2024.07.14/15,9,36,,,,,9,,,,,,
,,,Agalawatta,,2024.07.15,2,4,,,,,2,,,,,,
,,,Bandaragama,,,1,4,,,,,1,,,,,,
,,,Ingiriya,,2024.07.13/15,9,40,,,,,6,,,,,,
,,,Horana,,,3,11,,,,,3,,,,,,
,,,Beruwala,,,10,40,,,,,10,,,,,,
,,,Bulathsinhala,,2024.07.15,6,24,,,,,6,,,,,,
,,,Kaluthara,,2024.07.15,3,9,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,43,168,0,0,0,0,40,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,43,168,0,0,0,0,40,0,0,0,0,0,
"ැනග හිර පලොත
fpof;F
Eastern",7,"අම්පොර
mk;ghiw
Ampara",Addalachchenai,Boat Missing,2024.07.13,,,,,2,,,,,,,,"02 Persons have gone
to sea for fishing
activities"
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,0,0,0,0,2,0,0,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,0,0,0,0,2,0,0,0,0,0,0,0,
"වයඹ
පලොත/tlNky;
khfhzk;/ North
Western",8,"කුරු ෑගල/
FUdhfy;/
Kurunegala/",Narammala,High wind,2024.07.08,3,11,,,,,2,,,,,,
,,,Alauwwa,High wind,2024.07.09/15,2,8,,,,,2,,,,,,
,,,Ridigama,High wind,2024.07.15,1,4,,,,,1,,,,,,
,,,Kuliyapitiya East,High wind,2024.07.08,1,2,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,7,25,0,0,0,0,6,0,0,0,0,0,
,පළොත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7,25,0,0,0,0,6,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,8476,26691,0,0,2,0,110,0,0,2,4,21,
,,,ආ ප ද ො කළම ොකරණ මධ්‍යස්ත්‍රථො ය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre,,,,,,,,,,,,,,,
"හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,,,,
"ෆැක්ස්ත්‍ර/ njhiy efy; / Fax: 0112670079
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com",,,,,,,,,,,,,,,,,,
"නවබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk
…..............................................",,,,,,,,,,,,,,,,,,
