"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 31st May 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhk
y;NghNd
hH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,,Pallama,,,20,86,,,,,20,,,,,,
,,,Nawagattegama,,,4,16,,,,,4,,,,,,
,,,Puttalama,,,1,4,,,,,1,,,,,,
,,,Anamaduwa,,,17,53,,,,,17,,,,,,
,,,Wanatavilluwa,,,1,6,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",2,,Hambanthota,,2025.05.19,1,1,,,,,1,,,,,,
,,,Katuwana,,2025.05.30,1,2,,,,,1,,,,,,
,,,,,2025.05.27,4,13,,,,,4,,,,,,
,,හම්බන්තාට,,,2025.05.28,3,11,,,,,3,,,,,,
,,`k;ghe;Njhl;il,Walassmulla,High Wind,,1,7,,,,,1,,,,,,
,,Hambantota,Thangalla,,,1,4,,,,,1,,,,,,
,,,,,2025.05.29,3,12,,,,,3,,,,,,
,,,Weeraketiya,,2025.05.28,1,4,,,,,1,,,,,,
,,,Agunakolapelessa,,2025.05.25,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,57,0,0,0,0,16,0,0,0,0,0,
,3,,Baddegama,High Wind,2025.05.30,26,87,,,,,26,1,,,,,
,,,Yakkalamulla,,,,,,,,,,,2,,,,
,,,Balapitiya,,,3,5,,,,1,3,,,,,,
,,,Kadawatsatara,,,12,42,,,,,12,,2,,,,
,,ගාල්ල,Waduraba,,,1,3,,,,,1,,,,,,
,,"fhyp
Galle",Bopepoddala,,,15,57,,,,,15,,,,,,
,,,Nagoda,,,8,18,,,,,8,,1,,,,
,,,Habaraduwa,,,6,12,,,,,6,,,,,,
,,,Welivitadivitura,,,7,30,,,,,7,,,,,,
,,,Ambalangoda,,,12,41,,,,,12,,,,,,
,,,Hikkaduwa,,,4,19,,,,,4,,,,,,
,,,Rathgama,,,2,8,,,,,2,,,,,,
,,,Karandeniya,,,3,10,,,,,3,,,,,,
,,,Imaduwa,,,4,15,,,,,4,,,,,,
,,,Akmeemana,,,8,34,,,,,8,,,,,,
,,,Niyagama,,,2,4,,,,,2,,,,,,
,,,Bentara,,,1,1,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,114,386,0,0,0,1,114,1,5,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,130,443,0,0,0,1,130,1,5,0,0,0,
,4,"කළුතර
fSj;Jiw
Kalutara",Beruwala,High Wind,2025.05.30,33,132,,,,,33,,,,,,
,,,Kaluthara,,2025.05.30,26,89,,,,,20,1,2,,,,
,,,Matugama,,2025.05.30,4,20,,,,,4,,,,,,
,,,Dodangoda,,2025.05.30,16,54,,,,,16,,1,,,,
,,,Bulathsighala,,2025.05.29,6,24,,,,,6,,,,,,
,,,Palindanuwara,,2025.05.30,1,3,,,,,1,,,,,,
,,,Walallavita,,2025.05.30,12,45,,,,,12,,,,,,
,,,Horana,,2025.05.30,7,28,,,,,7,,,,,,
,,,Ingiriya,,2025.05.30,2,7,,,,,2,,,,,,
,,,Millaniya,,2025.05.30,3,10,,,,,3,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,110,412,0,0,0,0,104,1,3,0,0,0,
