"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :25th May 2022 at 1800 hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"නැවෙනහිර පලාත
fpof;F
Eastern",1,"අම්පාර
mk;ghiw Ampara",Uahana,Miny Cyclone,2022.05.24,103,334,,,,5,98,,,,,,
,,,Navithanveli,Miny Cyclone,,95,396,,,,2,83,10,,,,,
,,,Damana,Heavy Rain & High,,1,4,,,,,1,,,,,,
,,,Ninthavur,WHeinadvy Rain & High,,1,4,,,,,1,,,,,,
,"Wind
දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total",,,,,200,738,0,0,0,7,183,10,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,200,738,0,0,0,7,183,10,0,0,0,0,
"ෙයඹ
පලාත/tlNky;
khfhzk;/ North
Western/",2,"පුත්තලම/
Gj;jsk;/Puttalam",Puttalam,Heavy Rain & Flood,2022.05.24,5989,20542,,,,,1,,,4,198,420,
,,,Anamaduwa,Fire,,1,5,,,,,1,,,,,,
,,,Pallama,High wind & Flood,,20,82,,,,,,,,,,,
,,,Kalpitiya,High wind,,46,184,,,,,15,29,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,6056,20813,0,0,0,0,17,29,0,4,198,420,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,6056,20813,0,0,0,0,17,29,0,4,198,420,
"සබරෙමුෙ
පලාත/rg;ufKt/
Sabaragamuwa/",3,"රත්නපුර/
,uj;jpdGhp/
Rathnapura",Godakawela,High Wind,2022.05.24,4,17,,,,,4,,,,,,
,,,Embilipitiya,Elephant Attack,,1,1,,,,,1,,,,,,
,,,Balangoda,High Wind & Rain,,2,7,,,,,2,,,,,,
,,,Eheliyagoda,Lightning,,4,9,,,,,4,,,,,,
,,,,High Wind,,5,10,,,,,3,,,,,,
,,,Kalawana,Cutting faliture,,2,19,,,,,2,,,,,,
,,,Opanayaka,Tree Fallen,,1,6,,,,,1,,,,,,
,,,Elapatha,Flood,,3,17,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,22,86,0,0,0,0,18,0,0,0,0,0,
,4,"කෑෙල්ල/Nffhiy/K
egalle",Ruwanvella,Tree Fallen,2022.05.24,2,11,,,,,2,,,,,,
,,,Warakapola,High Wind,,3,11,,,,,3,,,,,,
,,,Bulathkohupitiya,High Wind,,1,4,,,,,1,,,,,,
,,,Kegalle,Tree Fallen,,1,3,,,,,1,,,,,,
,,,Deraniyagala,Cutting faliture,,1,4,,,,,1,,,,,,
,,,,Fire,,1,5,,,,,1,,,,,,
,,,Galigamuwa,Tree Fallen,,2,7,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,11,45,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,33,131,0,0,0,0,28,0,0,0,0,0,
"Western/ Nky;
khfhzk
;බස්නාහිර පලාත",,"කළුතර/fSj;Jiw/
Kalutara",Horana,Fire,2022.05.24,1,1,,,,,1,,,,,,
,දිස්ික් එකතුෙ khtl;l $l;Lj;njhif District Total,,,,,1,1,0,0,0,0,1,0,0,0,0,0,
,පළාත් ඵකතුෙ khfhz $l;Lj;njhif Province Total,,,,,1,1,0,0,0,0,1,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,6290,21683,0,0,0,7,229,39,0,4,198,420,
,,,"ආ ප ද ා කළමනාකරණ මධ්‍යස්ථානය /mdHj;j Kfhikj;Jt epiyak;/ Disaster Management Centre
හදිසි ඇමතුම් / njhiyNgrp / Hot Lines: 117, 0112670002, 0112136136",,,,,,,,,,,,,,,
,,,ෆැක්ස්/ njhiy efy; / Fax: 0112670079,,,,,,,,,,,,,,,
විදුත් තැපැල් / kpd;dQ;ry; / Email: eocdmc@gmail.com,,,,,,,,,,,,,,,,,,
"වෙබ් අඩවිය / ,izak; / Web: www.dmc.gov.lk",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
